,Month,avgTempsCHelsinki
0,1,-6.041716183540434
1,2,-6.253420908593323
2,3,-3.125172318720706
3,4,2.777777777777777
4,5,10.04985754985755
5,6,14.976765890558994
6,7,16.43649639200251
7,8,15.080910267014486
8,9,9.843108360349738
9,10,4.801488833746898
10,11,0.5769230769230773
11,12,-4.3731274699016645
